code_ral,name_fr,rgba,hex
000 15 00,Brun noir,"rgba(33,33,34,1)",#212122
000 20 00,Noir de sécurité,"rgba(43,43,43,1)",#2B2B2B
000 25 00,Olive noire,"rgba(58,58,58,1)",#3A3A3A
000 30 00,Cosmos,"rgba(68,68,67,1)",#444443
000 35 00,Gris signalisation B,"rgba(80,80,80,1)",#505050
000 40 00,Gris,"rgba(93,92,91,1)",#5D5C5B
000 45 00,Gris mat,"rgba(107,106,105,1)",#6B6A69
000 50 00,Gris moyen,"rgba(118,118,117,1)",#767675
000 55 00,Gris fonçé nacré,"rgba(130,130,130,1)",#828282
000 60 00,Aluminium gris,"rgba(143,143,142,1)",#8F8F8E
000 65 00,Gris souris,"rgba(158,159,158,1)",#9E9F9E
000 70 00,Gris acier,"rgba(172,173,172,1)",#ACADAC
000 75 00,Étain oxydé,"rgba(186,186,186,1)",#BABABA
000 80 00,Mauve d'antan,"rgba(201,200,199,1)",#C9C8C7
000 85 00,Gris clair,"rgba(214,214,212,1)",#D6D6D4
000 90 00,Gris Hanoï,"rgba(226,227,224,1)",#E2E3E0
010 20 10,Marron puce,"rgba(62,42,44,1)",#3E2A2C
010 20 15,Rouge noir,"rgba(66,35,41,1)",#422329
010 20 20,Rouge noir,"rgba(72,32,41,1)",#482029
010 20 25,Violet pourpre,"rgba(76,28,40,1)",#4C1C28
010 30 10,Marron puce,"rgba(88,64,67,1)",#584043
010 30 15,Marron puce,"rgba(93,59,65,1)",#5D3B41
010 30 20,Marron,"rgba(100,57,65,1)",#643941
010 30 25,Marron brun,"rgba(108,51,63,1)",#6C333F
010 30 30,Violet de Bayeux,"rgba(113,47,62,1)",#712F3E
010 30 35,Violet bordeaux,"rgba(115,41,59,1)",#73293B
010 30 40,Violet bordeaux,"rgba(123,32,57,1)",#7B2039
010 30 44,Pensée pourpre,"rgba(130,25,58,1)",#82193A
010 40 10,Bistre,"rgba(111,88,91,1)",#6F585B
010 40 15,Bistre,"rgba(119,83,89,1)",#775359
010 40 20,Bistre,"rgba(127,81,88,1)",#7F5158
010 40 25,Cacao,"rgba(134,77,88,1)",#864D58
010 40 30,Quinacridone magenta,"rgba(141,72,86,1)",#8D4856
010 40 35,Quinacridone magenta,"rgba(144,67,83,1)",#904353
010 40 40,Quinacridone magenta,"rgba(152,61,83,1)",#983D53
010 40 45,Framboise,"rgba(159,55,83,1)",#9F3753
010 40 50,Amarante violet,"rgba(165,49,82,1)",#A53152
010 40 53,Amarante violet,"rgba(169,43,79,1)",#A92B4F
010 50 10,Gris platine,"rgba(136,113,117,1)",#887175
010 50 15,Vanille,"rgba(143,109,115,1)",#8F6D73
010 50 20,Pourpre,"rgba(152,105,113,1)",#986971
010 50 25,Rose Saint Paulia,"rgba(160,101,112,1)",#A06570
010 50 30,Rose Saint Paulia,"rgba(169,96,110,1)",#A9606E
010 50 35,Rose sarrasin,"rgba(174,91,108,1)",#AE5B6C
010 50 40,Rose sarrasin,"rgba(179,88,108,1)",#B3586C
010 50 45,Rose sarrasin,"rgba(184,81,106,1)",#B8516A
010 50 50,Rose sarrasin,"rgba(194,76,106,1)",#C24C6A
010 60 10,Brun midi,"rgba(163,138,141,1)",#A38A8D
010 60 15,Brun midi,"rgba(173,135,141,1)",#AD878D
010 60 20,Brun rosé,"rgba(182,132,140,1)",#B6848C
010 60 25,Brun rosé,"rgba(189,127,138,1)",#BD7F8A
010 60 30,Rose hibiscus,"rgba(196,122,136,1)",#C47A88
010 60 35,Rose hibiscus,"rgba(205,118,135,1)",#CD7687
010 60 40,Mauve,"rgba(212,113,134,1)",#D47186
010 60 45,Tango rose,"rgba(220,108,132,1)",#DC6C84
010 70 10,Gris tourterelle,"rgba(192,166,170,1)",#C0A6AA
010 70 15,Rose camélia,"rgba(200,162,167,1)",#C8A2A7
010 70 20,Rose pastel,"rgba(210,158,166,1)",#D29EA6
010 70 25,Rose pastel,"rgba(219,154,165,1)",#DB9AA5
010 70 30,Rose charme,"rgba(226,151,164,1)",#E297A4
010 70 35,Rose clair,"rgba(234,145,161,1)",#EA91A1
010 80 10,Bauxite,"rgba(220,192,195,1)",#DCC0C3
010 80 15,Bauxite,"rgba(228,189,194,1)",#E4BDC2
010 80 20,Rose espagnol,"rgba(239,185,192,1)",#EFB9C0
010 90 05,Framboise,"rgba(239,224,222,1)",#EFE0DE
010 90 10,Rose ballerine,"rgba(242,218,214,1)",#F2DAD6
010 92 05,Ambre,"rgba(241,228,227,1)",#F1E4E3
020 20 05,Gris terre d'ombre,"rgba(52,42,42,1)",#342A2A
020 20 10,Rouge noir,"rgba(60,39,39,1)",#3C2727
020 20 20,Rouge noir,"rgba(74,33,37,1)",#4A2125
020 20 29,Cosmos rouge,"rgba(83,24,31,1)",#53181F
020 30 05,Brun gris,"rgba(77,65,65,1)",#4D4141
020 30 10,Marron puce,"rgba(85,61,62,1)",#553D3E
020 30 20,Marron brun,"rgba(99,54,57,1)",#633639
020 30 30,Brique,"rgba(109,44,50,1)",#6D2C32
020 30 40,Brique,"rgba(123,35,49,1)",#7B2331
020 30 48,Framboise glacée,"rgba(132,23,44,1)",#84172C
020 40 05,Truffe,"rgba(103,91,91,1)",#675B5B
020 40 10,Bistre,"rgba(110,86,87,1)",#6E5657
020 40 20,Bistre,"rgba(125,79,81,1)",#7D4F51
020 40 30,Bistre,"rgba(138,71,76,1)",#8A474C
020 40 40,Rose uni,"rgba(148,61,70,1)",#943D46
020 40 50,Framboise,"rgba(160,46,62,1)",#A02E3E
020 50 05,Gris platine,"rgba(128,116,115,1)",#807473
020 50 10,Vanille,"rgba(136,110,112,1)",#886E70
020 50 20,Vanille,"rgba(153,104,106,1)",#99686A
020 50 30,Acajou,"rgba(167,96,101,1)",#A76065
020 50 40,Acajou,"rgba(177,87,95,1)",#B1575F
020 50 50,Miroitement doux-amer,"rgba(190,76,90,1)",#BE4C5A
020 50 58,Terracotta,"rgba(206,68,88,1)",#CE4458
020 60 05,Violet alouette,"rgba(153,141,141,1)",#998D8D
020 60 10,Canelle,"rgba(163,137,138,1)",#A3898A
020 60 20,Brun midi,"rgba(180,130,134,1)",#B48286
020 60 30,Rose hibiscus,"rgba(195,121,127,1)",#C3797F
020 60 40,Mauve,"rgba(209,113,123,1)",#D1717B
020 70 05,Gris tourterelle,"rgba(181,168,168,1)",#B5A8A8
020 70 10,Savane,"rgba(189,163,165,1)",#BDA3A5
020 70 20,Rose pastel,"rgba(211,158,162,1)",#D39EA2
020 70 30,Framboise,"rgba(227,150,155,1)",#E3969B
020 80 05,Mauve d'antan,"rgba(211,197,196,1)",#D3C5C4
020 80 10,Bauxite,"rgba(219,191,192,1)",#DBBFC0
020 80 20,Rose espagnol,"rgba(238,186,188,1)",#EEBABC
020 90 05,Framboise,"rgba(240,226,222,1)",#F0E2DE
020 90 10,Rose ballerine,"rgba(244,220,216,1)",#F4DCD8
030 20 10,Rouge noir,"rgba(62,41,39,1)",#3E2927
030 30 10,Marron puce,"rgba(85,64,62,1)",#55403E
030 30 20,Marron,"rgba(98,56,54,1)",#623836
030 30 30,Brique,"rgba(110,47,44,1)",#6E2F2C
030 30 40,Rouge basque,"rgba(124,41,42,1)",#7C292A
030 30 45,Rouge brun,"rgba(125,30,32,1)",#7D1E20
030 40 10,Beige nacré,"rgba(108,87,85,1)",#6C5755
030 40 20,Bistre,"rgba(126,83,80,1)",#7E5350
030 40 30,Bistre,"rgba(139,75,71,1)",#8B4B47
030 40 40,Rouge électrique,"rgba(151,65,62,1)",#97413E
030 40 50,Rouge Saint Émilion,"rgba(163,55,55,1)",#A33737
030 40 60,Brun rouge,"rgba(172,44,50,1)",#AC2C32
030 50 10,Vanille,"rgba(136,111,109,1)",#886F6D
030 50 20,Vanille,"rgba(151,106,102,1)",#976A66
030 50 30,Acajou,"rgba(166,97,93,1)",#A6615D
030 50 40,Acajou,"rgba(180,90,86,1)",#B45A56
030 50 50,Miroitement doux-amer,"rgba(191,81,78,1)",#BF514E
030 50 60,Terre cuite rosée,"rgba(203,69,67,1)",#CB4543
030 60 10,Canelle,"rgba(162,138,136,1)",#A28A88
030 60 20,Sépia,"rgba(179,131,127,1)",#B3837F
030 60 30,Rouge beige,"rgba(194,122,116,1)",#C27A74
030 60 40,Vieux rose,"rgba(208,117,111,1)",#D0756F
030 60 50,Vieux rose,"rgba(222,107,102,1)",#DE6B66
030 70 10,Savane,"rgba(190,164,162,1)",#BEA4A2
030 70 20,Framboise,"rgba(208,156,151,1)",#D09C97
030 70 30,Framboise,"rgba(225,149,143,1)",#E1958F
030 70 40,Corail clair,"rgba(239,142,135,1)",#EF8E87
030 80 10,Bauxite,"rgba(218,192,188,1)",#DAC0BC
030 80 20,Café au lait,"rgba(236,185,179,1)",#ECB9B3
030 90 05,Framboise,"rgba(238,224,220,1)",#EEE0DC
030 90 10,Rose ballerine,"rgba(246,223,216,1)",#F6DFD8
040 20 05,Maduro,"rgba(53,43,40,1)",#352B28
040 20 10,Bistre,"rgba(61,42,37,1)",#3D2A25
040 20 19,Bismarck,"rgba(71,36,26,1)",#47241A
040 30 05,Taupe,"rgba(77,66,62,1)",#4D423E
040 30 10,Marron puce,"rgba(83,62,57,1)",#533E39
040 30 20,Marron,"rgba(96,57,47,1)",#60392F
040 30 30,Moka,"rgba(107,50,38,1)",#6B3226
040 30 40,Chocolat,"rgba(119,47,33,1)",#772F21
040 40 05,Truffe,"rgba(103,91,88,1)",#675B58
040 40 10,Beige nacré,"rgba(108,87,81,1)",#6C5751
040 40 20,Brun pâle,"rgba(123,83,73,1)",#7B5349
040 40 30,Ombre brûlée,"rgba(133,75,60,1)",#854B3C
040 40 40,Brun cuivré,"rgba(145,65,47,1)",#91412F
040 40 50,Terre cuite,"rgba(157,61,39,1)",#9D3D27
040 40 60,Rouge feu,"rgba(165,49,26,1)",#A5311A
040 40 67,Rouge bismarck,"rgba(173,43,16,1)",#AD2B10
040 50 05,Gris Rabat,"rgba(126,115,111,1)",#7E736F
040 50 10,Vanille,"rgba(135,112,107,1)",#87706B
040 50 20,Chocolat,"rgba(149,106,96,1)",#956A60
040 50 30,Acajou,"rgba(164,100,84,1)",#A46454
040 50 40,Acajou,"rgba(176,93,74,1)",#B05D4A
040 50 50,Terre cuite rosée,"rgba(189,85,62,1)",#BD553E
040 50 60,Terre cuite rosée,"rgba(202,78,51,1)",#CA4E33
040 50 70,Rouge saumon,"rgba(209,70,44,1)",#D1462C
040 60 05,Violet alouette,"rgba(153,142,138,1)",#998E8A
040 60 10,Canelle,"rgba(163,138,131,1)",#A38A83
040 60 20,Sépia,"rgba(176,130,119,1)",#B08277
040 60 30,Rouge beige,"rgba(194,126,111,1)",#C27E6F
040 60 40,Brique,"rgba(204,118,97,1)",#CC7661
040 60 50,Terre brûlée,"rgba(218,113,87,1)",#DA7157
040 60 60,Terre brûlée,"rgba(228,105,76,1)",#E4694C
040 70 05,Savane,"rgba(180,168,164,1)",#B4A8A4
040 70 10,Brun vénitie,"rgba(191,165,158,1)",#BFA59E
040 70 20,Framboise,"rgba(208,159,147,1)",#D09F93
040 70 30,Brique,"rgba(224,152,135,1)",#E09887
040 70 40,Saumon foncé,"rgba(232,145,125,1)",#E8917D
040 70 50,Saumon,"rgba(250,137,112,1)",#FA8970
040 80 05,Perle,"rgba(211,197,192,1)",#D3C5C0
040 80 10,Bauxite,"rgba(221,194,186,1)",#DDC2BA
040 80 20,Sables du désert,"rgba(241,190,176,1)",#F1BEB0
040 80 30,Chair,"rgba(254,183,165,1)",#FEB7A5
040 90 05,Framboise,"rgba(240,225,219,1)",#F0E1DB
040 90 10,Cassonade,"rgba(247,224,214,1)",#F7E0D6
050 20 10,Bistre,"rgba(61,45,36,1)",#3D2D24
050 20 16,Bistre,"rgba(68,40,27,1)",#44281B
050 30 10,Brun terre,"rgba(82,62,53,1)",#523E35
050 30 20,Rouille,"rgba(96,59,42,1)",#603B2A
050 30 30,Brun de sécurité,"rgba(108,56,33,1)",#6C3821
050 30 36,Colorado,"rgba(114,55,28,1)",#72371C
050 40 10,Beige nacré,"rgba(111,91,82,1)",#6F5B52
050 40 20,Brun beige,"rgba(122,85,68,1)",#7A5544
050 40 30,Châtaigne,"rgba(132,80,56,1)",#845038
050 40 40,Terre cuite,"rgba(143,72,38,1)",#8F4826
050 40 50,Terre cuite,"rgba(153,69,31,1)",#99451F
050 50 10,Vanille,"rgba(137,117,107,1)",#89756B
050 50 20,Terre de sienne brûlée,"rgba(150,111,93,1)",#966F5D
050 50 30,Ton bois,"rgba(163,106,79,1)",#A36A4F
050 50 40,Ton bois,"rgba(173,99,66,1)",#AD6342
050 50 50,Orangé nacré,"rgba(185,94,51,1)",#B95E33
050 50 60,Terracotta,"rgba(189,86,32,1)",#BD5620
050 50 70,Orange brûlée,"rgba(205,77,4,1)",#CD4D04
050 50 78,Cuivre,"rgba(212,88,20,1)",#D45814
050 60 10,Canelle,"rgba(164,141,131,1)",#A48D83
050 60 20,Sépia,"rgba(177,135,117,1)",#B18775
050 60 30,Rouge beige,"rgba(194,132,104,1)",#C28468
050 60 40,Brique,"rgba(204,126,91,1)",#CC7E5B
050 60 50,Ocre salentina,"rgba(216,121,76,1)",#D8794C
050 60 60,Orange sanguine,"rgba(229,116,59,1)",#E5743B
050 60 70,Orangé rouge clair,"rgba(233,103,45,1)",#E9672D
050 60 80,Carotte,"rgba(246,97,26,1)",#F6611A
050 70 10,Poivre de Sichuan,"rgba(193,171,160,1)",#C1ABA0
050 70 20,Brun,"rgba(208,165,146,1)",#D0A592
050 70 30,Brique,"rgba(222,159,131,1)",#DE9F83
050 70 40,Saumon foncé,"rgba(237,154,118,1)",#ED9A76
050 70 50,Corail,"rgba(246,146,104,1)",#F69268
050 70 60,Saumon,"rgba(255,139,88,1)",#FF8B58
050 80 10,Bauxite,"rgba(223,199,188,1)",#DFC7BC
050 80 20,Café au lait,"rgba(238,192,171,1)",#EEC0AB
050 80 30,Cannelle,"rgba(252,185,157,1)",#FCB99D
050 90 05,Corail,"rgba(243,228,220,1)",#F3E4DC
050 90 10,Blanc antique,"rgba(255,230,216,1)",#FFE6D8
050 92 05,Terre cuite,"rgba(246,233,226,1)",#F6E9E2
060 20 05,Maduro,"rgba(50,43,38,1)",#322B26
060 20 10,Bistre,"rgba(59,45,35,1)",#3B2D23
060 30 05,Fusil vert,"rgba(76,67,61,1)",#4C433D
060 30 10,Brun terre,"rgba(81,64,53,1)",#514035
060 30 20,Brun noisette,"rgba(90,61,41,1)",#5A3D29
060 30 27,Chocolat,"rgba(98,60,31,1)",#623C1F
060 40 05,Truffe,"rgba(101,91,85,1)",#655B55
060 40 10,Beige nacré,"rgba(106,88,77,1)",#6A584D
060 40 20,Brun beige,"rgba(118,86,64,1)",#765640
060 40 30,Cannelle,"rgba(127,81,49,1)",#7F5131
060 40 40,Café au lait,"rgba(138,80,36,1)",#8A5024
060 50 05,Gris Rabat,"rgba(127,116,110,1)",#7F746E
060 50 10,Vanille,"rgba(133,114,102,1)",#857266
060 50 20,Chocolat,"rgba(144,110,88,1)",#906E58
060 50 30,Ambre,"rgba(157,108,74,1)",#9D6C4A
060 50 40,Ton bois,"rgba(165,102,57,1)",#A56639
060 50 50,Baillet,"rgba(175,100,43,1)",#AF642B
060 50 60,Aquilain,"rgba(178,91,9,1)",#B25B09
060 50 70,Orange brûlée,"rgba(189,92,0,1)",#BD5C00
060 60 05,Canelle,"rgba(154,144,138,1)",#9A908A
060 60 10,Canelle,"rgba(161,141,128,1)",#A18D80
060 60 20,Sépia,"rgba(176,137,113,1)",#B08971
060 60 30,Ambre,"rgba(185,133,99,1)",#B98563
060 60 40,Ambre,"rgba(200,133,84,1)",#C88554
060 60 50,Fauve,"rgba(202,122,64,1)",#CA7A40
060 60 60,Orange sanguine,"rgba(213,118,43,1)",#D5762B
060 60 70,Citrouille,"rgba(219,114,16,1)",#DB7210
060 60 80,Orange espagnol,"rgba(229,109,0,1)",#E56D00
060 70 05,Savane,"rgba(181,171,164,1)",#B5ABA4
060 70 10,Grège,"rgba(189,168,156,1)",#BDA89C
060 70 20,Beige,"rgba(200,163,138,1)",#C8A38A
060 70 30,Brique,"rgba(209,156,121,1)",#D19C79
060 70 40,Tulle corail,"rgba(224,155,110,1)",#E09B6E
060 70 50,Corail,"rgba(235,151,94,1)",#EB975E
060 70 60,Jaune indien,"rgba(240,143,72,1)",#F08F48
060 70 70,Abricot,"rgba(252,140,53,1)",#FC8C35
060 80 05,Gris petit cheval,"rgba(209,198,190,1)",#D1C6BE
060 80 10,Bauxite,"rgba(215,195,181,1)",#D7C3B5
060 80 20,Café au lait,"rgba(230,191,166,1)",#E6BFA6
060 80 30,Cannelle,"rgba(244,186,148,1)",#F4BA94
060 80 40,Abricot clair,"rgba(253,180,130,1)",#FDB482
060 90 05,Beige poudré,"rgba(239,227,216,1)",#EFE3D8
060 90 10,Cassonade,"rgba(247,224,210,1)",#F7E0D2
060 90 15,Chair-rose,"rgba(253,220,200,1)",#FDDCC8
070 20 10,Brun sépia,"rgba(57,44,30,1)",#392C1E
070 30 10,Brun terre,"rgba(77,63,51,1)",#4D3F33
070 30 20,Brun noisette,"rgba(87,65,40,1)",#574128
070 40 10,Beige nacré,"rgba(103,89,76,1)",#67594C
070 40 20,Or nacré,"rgba(113,86,59,1)",#71563B
070 40 30,Cannelle,"rgba(122,85,46,1)",#7A552E
070 40 40,Mordoré,"rgba(128,82,26,1)",#80521A
070 50 10,Vanille,"rgba(129,114,101,1)",#817265
070 50 20,Bistre,"rgba(140,111,84,1)",#8C6F54
070 50 30,Châtain,"rgba(148,107,65,1)",#946B41
070 50 40,Chocolat,"rgba(157,105,47,1)",#9D692F
070 50 50,Alezan,"rgba(158,105,40,1)",#9E6928
070 50 55,Alezan,"rgba(167,105,36,1)",#A76924
070 60 10,Crême de noisette,"rgba(155,139,124,1)",#9B8B7C
070 60 20,Bronze,"rgba(166,138,110,1)",#A68A6E
070 60 30,Sépia,"rgba(175,133,92,1)",#AF855C
070 60 40,Tabac,"rgba(184,131,73,1)",#B88349
070 60 50,Tabac,"rgba(193,129,54,1)",#C18136
070 60 60,Pérou,"rgba(203,129,45,1)",#CB812D
070 60 70,Ambre miel,"rgba(205,123,0,1)",#CD7B00
070 60 75,Ambre miel,"rgba(208,122,4,1)",#D07A04
070 70 10,Brun vénitie,"rgba(184,168,153,1)",#B8A899
070 70 20,Beige,"rgba(194,164,135,1)",#C2A487
070 70 30,Ocre rocheuses,"rgba(206,162,119,1)",#CEA277
070 70 40,Ocre rouge,"rgba(215,158,98,1)",#D79E62
070 70 50,Ocre rouge,"rgba(222,156,82,1)",#DE9C52
070 70 60,Jaune indien,"rgba(233,154,60,1)",#E99A3C
070 70 70,Orange carotte,"rgba(235,147,31,1)",#EB931F
070 70 80,Mandarine,"rgba(240,143,0,1)",#F08F00
070 80 10,Beige wes,"rgba(212,195,179,1)",#D4C3B3
